序号,评论者,评论内容
648,b友_恩宇,"这些功能大概率会用在骗人的方向上吧....

有些人可能给这些功能赋予创作的噱头"
649,virgoBY,国外开源的东西只要出来就会被国内抓取然后收费 尤其是百度文库这种流氓
650,休我,打码的视频可以不？比如某某老师的教学视频，没错是老师的教学视频，我们是来学习的
651,爱吃瓜的路人乙1,这视频下面的评论怎么回事？那么猖狂，还都是6级号，真不怕被封号呀。号被盗了吧？
652,吾的二病不好治,马上到国内就各种VIP加广告下载APP付费使用，然后功能还是阉割的
653,DaDa爱唠叨,【我只是个萌新-哔哩哔哩】 我只是个萌新
654,纯真软柿子,怪不得好莱坞那边大罢工啊，啧啧，这以后拍电影之类的根本不需要真人演员了。
655,o浓情巧克力o,啥都没学到，我就发现一个问题，下次拍裸照看你们谁还敢发出来
656,一份羊城晚报,以后AI的写作水平越来越高，逼的作家们都只能去写回忆录了。
657,大咩打,謝謝分享，其實滿多東西瘋狂進步的，但是那些不相信會變化的，終究沒再研究
658,唐帅傅在逃调料包,我滴妈这才是科技，比站里那些人工智障主播不是一个次元的
659,邪恶又帅气的反派,以后大家看见图片或者视频首先就是：这是真的吗？能相信吗？不会是AI吧。
660,苯尔哲布布,无法理解这种技术的意义，只是让照片和视频造假越来越方便了，百害无一利
661,山野读书屋,我想问问有没有一种ai 神器就是 我输入一段关键词 它自己创造一段合成的视频出来 还有剧情的那种
662,枸柿梧95,看的越多越感慨ai你啥时候能干点人不想干的事，给人养老带孩子很难吗！
663,神落天堂,现在有的网站已经利用ai模拟一些女朋友啊，穿越斗罗啦，还收费，真的黑
664,super冰墩墩,把全世界的物理研究成果弄进去，然后发明空间引擎，人类将进入黄金时代
665,----轼-,不翻墙什么也干不了啊，国内的 ai 全是盈利为目的，更新迭代都垃圾
666,一磨哆,呵呵，已经能看到二次元游戏pv 动画不用外包公司画分镜了
667,张大g14,有没有可能，这个容易被用于犯罪，特别是推广开以后，不得不防！！！
668,虾饺go,音频，视频。改完再改。以后没事都要戴口罩戴眼镜，说话自带变音器。
669,旭尧8,我开好了官网4.0的 找几个合租的有没有 分摊费用一起用
670,發光也要交電费,【柚子-哔哩哔哩】 柚子
671,超电磁海提斯,我觉得有利有弊，一定会有人被冤枉而被行刑的例子，想想都觉得恐怖
672,冥龍,难怪现在出了好多破解的片，原来去马赛克工具那么强了
673,ILOVEMINIPC,给我的感觉除了震惊还有害怕，现在眼见也不能为实了，除非亲眼看见
674,真真真没意思,gpt已经更新了做图能力识图能力，需要plus账号的看我视频
675,bili_399853972,这些ai真的让我感觉到恐惧😱😱😱必须抵制国内ai的发展
676,只是水果宾治武士啦,我只知道接下来会有更多人把ai拿来做意淫和犯罪的工具
677,前方的人儿,看完一圈评论区后我只能说:色色就是第一生产力
678,德西与瑞安的自我决定,ai可以帮我找手机吗，这个可恶的人就住我们小区啊！！！ai
679,阿布的游戏空间,这种在之前就叫图像处理软件，现在要蹭热度，就叫AI
680,小熊二饼干,去马赛克那个在哪里下？好多有码的，想去掉
681,夜空的_星,我为什么第一时间想到的是骗人和造伪证呢？
682,暖暖爸爸哟,嗯。。ai一键生成文案+商品视频海报…然后就可以赚钱了…
683,vewinner,我只想用它来给日本小电影里的主角换脸，换成女明星
684,CuteTuTu_,以后又有一大堆人失业了，起码这种行业的基础人员要失业了，
685,20ZMR20,方便不到生活方方面面的，算力不够，现在付费ai还少吗。
686,知行其道,这个AI为什么都是国外的软件，国产没有研发吗。
687,闪电王小喵,怎么修复的都是老外的照片啊？他里面没有中国人的数据吗？
688,燕云端,去码工具能不能让我看清楚我喜欢的日本老师的真容
689,格蕾修修哒,太好了以后ai帮我闻臭脚我就不怕得肺感染了
690,哀哀哀哀哀木涕,为什么一看这些功能我脑子一直想的都是些带着颜色的东西
691,又TM喂猪了,有哪些人还记得新闻 火车站犯罪监控说是被蒙太奇改过
692,五颜六色的乌鸦,有没有专门画色图的
693,阿巴阿巴没,大家不用当心，ai……(内心:老顽固等着被淘汰吧)
694,_仙界在逃散修,真人秀节目组后期部门连夜充了50年白金vip会员
695,林疋日天,可以脱衣服吗，主要是喜欢换装没有其他意思
696,KoKo小白,"有多变态
会不会偷女孩子内衣"
697,瞎の搞音乐的YK叔叔,我TM服了！！这些白嫖怪！！收藏比点赞都多！！！
698,卡的有节奏,远看还行，放到最大都是破绽，想伪造证据还是别想了
699,专业的门外汉,我的意思是被打吗的嫌疑人用此软件恢复成原来的模样
700,出走半生依是少年,没用，好用的ai都会被拉脖子 除了哔站大神的sd
701,海森伯的猫,我想要ai女友
702,芭芭啦啦爸爸,以后的世界到处是假新闻，假照片，骗子到了乐园。
703,自律狗头,你分享的所有这些网站没有一个是直接打得开的，艹
704,画美好每一天,你们学不久ps能有ai厉害吗
705,舞叶飞花,可以无码了
706,照明烛,去马赛克？不是说马赛克对图片破坏是不可逆的吗？
707,春池浅风,玛德，国内的工具一比较，简直就像是智障
708,忆一个城,有了这个，视频监控还有意义吗？细思极恐
709,乌巫巫,个人悲观观点:电视剧越来越假，骗子迎来人生巅峰
710,人类性取向研究员,修复人脸的效果不行，我试过，有点假，眼神不一样
711,ドガリ,"笔记
收藏是点赞的两倍，大家有什么头绪吗？"
712,隐藏的猫,时代抛弃你的时候，真的连声招呼都不打
713,愉悦的凯森猫,第一个换位的那是不是随时可以把cp粮逆过来吃
714,Poi蓝色番茄,就把类似电影制作工具发布给网友了？
715,芒果不爱穿衣服,把老师的脸移动到我的抱枕上
716,雨柔喵,新一波的创业热潮来临，Adobe公司的末日。
717,x机器猫-魔法森林,金刚经所云：“凡所有相皆为虚妄！”
718,_赛罗奥特曼,那以后这种东西做成证据，法院他会不会辨真伪
719,半瞎猫子,我想哭这让低层的画师怎么活
720,三人老虎,我在公司开会，没在足疗，不信我给你发图片。
721,忧伤离落,它可以画涩图吗？我帮我朋友问问
722,花开叶落雨下霜凝,“你就是不懂录音的基本原理”
723,Hitman唐斩,有一种，我不说，使用后你就进入了澡堂子。。
724,bakaの逆袭,不行，我看了这么多ai修复的av，就是糊的
725,你眨眼萌死誰啊,再有不良艺人随便扣一下就和谐了
726,陌菸乄,那张sb表情包里的修图功能快被一一实现了
727,雪融有声_人过无名,看评论区大家怕个锤锤啊，反正要死都一起死
728,少拉拉,这要有多少人失业，来做短视频了。
729,莫162,以后造假更方便，不过什么东西都有两面性的
730,一只传新的铲子,"笔记
去码工具想起来一个好玩的"
731,鸽子写手时光,有没有把去世的人的声音弄成Ai的方法？
732,点赞回复,目前和脑补相比差了些，以后会越来越bt
733,Backlightソ逆光,假的永远是假的，只是造假更方便更逼真了
734,下雨天睡觉最舒服,不好说，我的第一反应是，噶腰子新利器！
735,张扬啦啦啦11,开元就行了，国内就能做出来收费了，真棒
736,知源魔界人,马赛克可以去除吗，我要看某个限制恐怖片
737,英语肖肖消,不知道都可以免费使用吗
738,amw376,以后有图有视频，都未必被认可作为证据了
739,台风-夔牛,唐狮工具还有一堆唐狮粉丝喜欢用
740,航海果果,有点后怕，如果有人拿这个去犯罪，那……
741,良辰cop,"笔记
这张图，让我彻底害怕人工智能"
742,-钟繶,"笔记
已经有这个软件了"
743,爱与正义的蕾米莉亚,"笔记
01:26 中华小子有一集。。。"
744,势如破竹咕噜咕噜,"笔记
虽然人没了，但影子还在！"
745,DieBian蝶变丶,以后就把片子里的男人物扣掉
746,我才是旅行者张翼德,我认为这其实就是一款软件，并不是ai
747,南主様,这种类型变态我不是很认可
748,午夜丶无夜,感觉以后会出来不少捏造的图片视频证据
749,你猜我合适不,Ai让充满谎言的东方如鱼得水！！哈哈
750,国际辣皮协会会长,我带码的视频能操作一下吗
751,前程拟锦,2部手机，ai会教你谈恋爱
752,宇凝is,造谣更方便了，该出新条约制约自媒体了
753,勇敢牛牛_QL,懂了，用它来创造不存在的证据
754,赛亚王族,我想把当年的毕业照把她放我旁边可以吗
755,NEVERS灬懒猫,请问能去码吗   
756,P节奏狂魔H,网络造谣越来越简单了，到底方便了谁呢
757,九夏宿未诺,原来是这个，我以为是那个
758,木子林大东复印社,好人一生平安，三连了
759,模范义父丁员外,罪恶的马赛克以后将无处藏身
760,你丶老婆丨臭脚,有去视频马赛克的吗
761,玖玉姬,真嘟假嘟，这么厉害
762,KI24CC,全是diffusion based
763,Se彩虹行动,也就是说，只要想罚款，你就必须交。
764,温柔的橘子,大量假新闻已经在路上了
765,世间匆匆梦一场,自从出了AI画图，原画师失业了不少
766,Vidar哒哒哒哒,好！以后后期再也不怕明星塌房抽烟了
767,猪排炸酱面,第二个打开后怎么用啊
768,晴空下的知了,怎么这么多六级号和大会员也成片哥了
769,bboyshen,未来啊，不学习就要落后了
770,Shirasaki-Kaori,"职业失业x
职业更方便赚你的钱☑️"
771,無奈的憂鬱,那啥，不会被拿去瑟瑟么，比如脱衣服
772,bili_40042687190,网页都打不开的，你说这么多有什么用
773,纷幻思绪,网上看到的都是假滴！都是冰红茶！
774,台风-夔牛,造瑤，眨骗的成本又降低了
775,GRSMAKO,啊？？？？？？？啊？？？啊？？？
776,牛牛99999999,
777,网上钢琴师Lee,这不就是等于教会了AI用PS吗？
778,缘聚皓月当空,毁灭人类的终究是人类自己
779,破坏游戏的孩子Kamo,跑男是不是就用这种方式把坤p走了
780,塔塔砾,
781,wqbigboss,以后还能相信什么？
782,风摇龚门萱花曳,那些画画不如ai的，趁早退市场
783,now1979,可以少请人，真好。三选一留下…
784,SucyOfficial,去马赛克那个，可以用在**上吗
785,我是马萨嘎,以后屏幕里的东西只能看 不能信
786,犬晴空,做恶更方便了
787,EVA狂热,多少数码民工要失业啊
788,雨中星辰I,我有一个大胆的想法
789,含义落钱,@AI视频小助理 帮我总结一下
790,wo陈小Q,有毛用网站都打不开的
791,躺平大师小木偶,我要试试一键去衣
792,你滴姥爷木嘎达,我就问一句：可以去马赛克吗，
793,Leon夜幕,没一个网站能进去，是要翻墙吗
794,皮皮神大人,我有个大胆的想法
795,沦为好友,我有个大胆的想法
796,宇宙深处的G,好家伙，互联网要越来越虚假了
797,lbcmhw,虽然但是，假新闻更好不识别了
798,遗忘的稻草人,那么如果把衣服移动了呢。。。
799,真是赤瞳啊,@AI沈阳美食家 笑点解析
800,碳燃,去码
801,风子夜灵,讲个悲伤的故事，都是国外的
802,飞哥的日常秀,@AI视频小助理 总结一下
803,WUJIAN舞见,@AI视频小助理 总结一下
804,花凌云影,得嘞，诈骗犯们更得心应手了
805,居然____,@AI视频小助理 总结一下
806,所以我几级了,@AI视频小助理 总结一下
807,云何挽,@AI视频小助理 总结一下
808,父大眼睛,@AI沈阳美食家 笑点解析
809,戏中游记,我有一个大胆的想法
810,百里司空-SK,@AI视频小助理 总结一下
811,流放之人路过,对犯罪分子来说……
812,戰姬天下,给动作片的老师换脸
813,岸田老苟爱喝核废水,我有一个大胆的想法
814,明眸la,@AI视频小助理 总结一下
815,Ricarho神冰,不能ghs那还有什么意思
816,社恐王,ai 正在夺走我们的工作
817,暗体,已经有很多ai色情产业了
818,LunDX,要是这个拿来做伪证。。。
819,菊爽開賽露,好傢伙以後有圖也沒真相了
820,寡盐火,@FriedrichWN
821,小茶打电动,直接发网站我愿称你为义父
822,假装认识她,我是付不起费的白嫖怪吗？
823,没有Verse了,把虚拟主播直接还原成真人
824,开箱啦啦啦,@有趣的程序员 总结一下
825,南宮灭,细说去马赛克
826,光头熊现身,以后拍的照片法院就不认了
827,卡玛哈斯特,@有趣的程序员 总结一下
828,就是传说中的隔壁王哥,完了视频照片都不可信了。
829,轮廓丶ing,这评论区怎么都是电脑人？
830,樱十九,马赛克也能修吗？
831,更多的快乐,那个去马赛克的确实很变态
832,xieps,AI来点涩图
833,对酌山外小阁楼,评论全是麦片的
834,破山鬼佬,AI明明很君子的好吗？
835,Axpirin,评论怎么全是片哥啊，🆘
836,一级造假师,可以用来去码吗
837,大河滚滚项咚流,做假证 犯罪分子的天堂
838,红级星,以后造假也越来越方便了
839,_nichinichi_,缅北kk新区工程师大喜
840,一个280斤的胖子,美图“正在抄，正在抄”
841,忧伤与幽默,准备回家种地了 毁灭吧
842,皓月星云,一键
843,采豆豆的蘑菇,好好好好好，，老夫喜欢
844,位梵无生,加油哦
845,Z______zip,去马赛克？
846,天下一切都是挣得,怪不得老美那边罢工了
847,悲惨的贫民,会不会有木马病毒？？
848,为壹不为叁,以后媒体的可信度为0
849,Iwiki_Echoooooo,@璇猫猫过五猫斩六猫
850,莫乍栋宝宝的虾烘豆机,不就是效率高点的ps
851,寒鸦比鸾凤之不当舔狗,人废了，完全不需要人
852,-ケンシロウ_,去马赛克工具
853,穆扬,香港不算国内？？？？
854,终战之舰Missouri,有图，无真相
855,梦轩轩轩,总觉得我看过这个视频
856,笑叔家的夫郎希司,搞笑修复  把脸变了
857,老辣的,可以把电影变成无码
858,淘尽门前土屋上无片瓦,外国月亮果然不一样
859,JamieLi小支,大同社会马上要到来
860,Extreme-Ratio,虚拟试衣服APP？
861,海德张海先生,这是要注册多少账号
862,路人甲的爸,有图有真相：告辞！
863,小法斗地主,无所谓ai不能交配
864,黄泉之上引魂之花,一键三连，666啊
865,starsky0oo,@玉砌犹在朱颜不改
866,lxhok,以后视频也不能相信
867,伪猫的狼叔,太牛逼了，投币投币
868,YoutubeBBC,证明 现实也成骗子
869,旅行的雁,进我的收藏夹吃灰吧
870,最爱喝大力,我有一个大胆的想法
871,安妮有小熊,看来ai老婆不远了
872,狗蛋儿先生,以后造谣更方便了
873,魔王sama好耶,有这世界变态吗？
874,爱吃零食不洗澡,好耶去马赛克工具
875,初零梦蕊,直接一个无脑三连
876,滑滑的蜗牛君,这都开源就很无语
877,星星了个星星,@AI视频小助理
878,青青小农,秦琼卖马
879,风都绕过我,@被老鼠咬了一口
880,吾恒生鲜,"笔记
要不然你们干一架"
881,弹星者老佳,变态
882,新手AD大佬带我,我有个大胆的想法
883,鬼鬼祟祟老鼠人,我有个大胆的想法
884,青夏空云,能不能算出彩票码
885,吾li天神,@AI视频小助理
886,-ad_Astra,@AI视频小助理
887,叮咚叮9,啊？没感觉啊？，
888,Jhaooer,AI不是，是外挂
889,25见笑,可以把衣服拖走吗
890,玩具小磊,为什么都是国外的
891,阳光哔哩卡,能ai个女人嘛
892,我要轻轻为你唱首歌,有没有更变态的
893,8骨哒,@木有名字的1
894,南墙已倒丶,视频能去码吗？
895,白原掠影,人类文明看西方
896,境外势立,那鬼怎么办？？
897,__eyes,地球都是虚拟的
898,bili_274366345,可以脱衣服吗？
899,东京上空的小男孩,快进到AI妻子
900,他哟旅游,太他妈的牛逼了
901,董小胖胖灬,这个怎么下载呢
902,PANDALADALA,@大名是陈不正
903,花のmaiden,可以来扣cxk
904,漏着腰子给摸,去马赛克好东西
905,演沅,吧我朋友变妹妹
906,Firelotus,#南洋理工大学
907,七羽同灵,拍龙行业的末路
908,osd3106,老涩批表示很好
909,阿刀木,爱了
910,公明山杰哥,真相没有了！
911,阿刚阿阿,作者配享太庙
912,神话之巅的神话,感谢大佬分享
913,陈大发哈哈哈,《真相捕捉》
914,小林理加,oc人有福了
915,一一了一,爺就愛看這個
916,天神神神神神神,能消马赛克不
917,挫折下的垫脚石,ai能背锅吗
918,潮問_斯卡也答,眼見不能為憑
919,阿丝蒂尔,什么叫开源？
920,樂雲居士,诽谤利器好耶
921,你有花没,科技改变生活
922,冰炎龙,谨慎造假诈骗
923,欲予皆空,一开源就领先
924,山雨锁清秋,我直接三连
925,_桔梗仙冬月_,修玛吉亚！
926,不遇诗,@月关的朕
927,威震空,能去🐎吗
928,不知名的血月黎,收藏比赞多
929,NoNuke肥八神,眼见不为实
930,难以描述的愉悦,
931,科学与幻想的B站号,音量太大了
932,天罗雪,照片证据废
933,凉芷MetO,挺BT的
934,呵呵哒嘛呢哞哄,拿来就行
935,良月二十八,@谢燕归
936,喜欢我哆啦批梦嘛,人工智障
937,海鲜大酱汤,适合诈骗
938,上官羽遥,都要钱吗
939,minecraft使命召唤,疯了疯了
940,梅子麦,"笔记
为了祖国。"
941,观测者SJ,孩子傻了
942,秋觉alan,虚假世界
943,或许我会想想你,牛逼老麦
944,诡计多端的_O,按需取用
945,同和君Hocassian,谢谢！！
946,日川冈昄大人,"笔记
国内？"
947,记录降价,傲慢！
948,智子的盲区,三连了
949,派哒星feng,哦哦哦
950,夕无殇,真的6
951,海鱼哥2020,厉害
952,光影阿勋,离谱
953,一路有道,妖孽
954,侦探虫,牛逼
955,-氦原子-,牛逼
956,bili_396633817,厉害
957,荒野的雪夜,恐怖
958,白鸡蛋黄,疯了
959,都盘修曲,无敌
960,birener,ai
961,bili_63435218457,我有一个想法竟然会自动补全，那我在裸体照面前放个花瓶把花瓶移动后照片会怎么样？
962,Dayu大鱼吃小鱼,马克
963,loveamentia,爆了
964,摩羯座木兽,厉害
965,时间时间233,我靠
966,betgv,谢谢
967,阿巴阿巴没,哇
968,bili_74084153196,嗯
969,新一神可,6
